특허명 TEXT,IPC넘버,출원인  NGRAM,출원번호 NUMERIC,출원날짜DATETIME,등록번호 NUMERIC,등록일자DATETIME,공개번호 NUMERIC,공개일자 DATETIME,대리인 NGRAM,발명가 KEYWORD,설명, STORED,,,,
그래핀 산화물을 이용한 표적물질 검출용 바이오센서 및 이의 제조방법(Biosensor for detecting target material using graphene oxide and method for preparing the same),"['G01N 27/26 G01N 33/50  .... ', 'G01N 27/26|G01N 33/50|G01N 33/53|G01N 33/68|C12Q 1/68']",인천대학교 산학협력단,1020140053293, 2014.05.02,1016104670000, 2016.04.01,1020150126454, 2015.11.12,차준용,김규원 정한올,"본 발명은 그래핀 산화물의 환원 전위의 변화를 이용한 생체 내 표적물질 검출용 바이오센서 및 이의 제조방법에 관한 것이다. 본 발명에 따른 생체 내 표적물질 검출용 바이오센서는 전기화학적 표지자로서 그래핀 산화물의 환원 전위의 변화를 이용함으로써 표적물질에 대한 민감도 및 선택도가 우수하여 표적물질의 농도 분석이 용이하고, 상기 바이오센서를 이용하여 표적물질을 검출하는 경우, 단순하고 경제적인 방법으로 우수한 표적물질 검출 효과를 나타낸다.",,,,,
비트플레인 기반 워터마킹 삽입 방법 및 장치(METHOD AND APPARATUS FOR INSERTING WATERMARKING BASED BIT PLANE),['H04N 21/8358'],인천대학교 산학협력단,1020140015533, 2014.02.11,1015186640000, 2015.04.30, , ,특허법인충정,전광길,"본 발명은 입력된 영상을 RGB 채널로 분할하고, 분할된 상기 RGB 채널별 비트플레인(Bit Plane)을 기설정된 비트의 비트플레인(Bit Plane) 데이터로 분리하는 과정과, 분리된 상기 각 비트플레인 데이터를 기설정된 화소 크기로 블록화하는 과정과, 소정의 비트플레인 데이터의 블록에 특정의 키를 이용하여 특정의 워터마크를 삽입하여 생성되는 데이터를 출력하는 과정을 포함함을 특징으로 한다.",,,,,
인간형 로봇을 이용한 자동 판매기용 자동토출 상품진열대(automatically ejecting goods display stands for vending machines using a humanoid robot),"['G07F 17/32 G07F 11/16  .... ', 'G07F 17/32|G07F 11/16|G07F 11/42']",인천대학교 산학협력단,1020120007879, 2012.01.26,1012764360000, 2013.06.12, , ,특허법인 에이치엠피,송병근,"본 발명은 인간형 로봇을 이용한 자동 판매기용 자동토출 상품진열대에 관한 것으로서, 상품 또는 상품이 들어있는 캡슐이 배출되는 배출구가 형성된 본체; 상기 상품 또는 상기 캡슐을 이동시키는 인간형 로봇; 상기 인간형 로봇의 움직임을 조작하는 조작부; 동전 또는 지폐를 인식하는 동전지폐인식부; 상기 동전지폐인식부를 통해 상기 인간형 로봇을 작동시키는 제어부; 상기 인간형 로봇에 의해 상기 상품 또는 상기 캡슐이 투입되어 상기 배출구로 배출되는 투입부; 및 진열대를 포함하는 인간형 로봇을 이용한 자동 판매기에서 상기 진열대에 진열된 상품 또는 캡슐을 토출부를 통해 자동으로 토출하는 진열대에 있어서, 상기 토출부는 다수개의 회전편과 상기 회전편들을 관통하여 고정된 회동축및 상기 회동축의 한쪽 끝에 연결된 서보모터로 이루어져, 상기 서보모터를 일정각도 회전시킴에 따라 각 회전편이 동시에 회전하여 상기 각 회전편 상에 적재된 상품 또는 캡슐이 순서에 따라 한꺼번에 자동으로 토출하도록 하는 효과가 있다.",,,,,
미래의 기상 예보 데이터를 이용하지 않는 기계학습 기반의 태양광 발전량 예측 장치 및 방법(MACHINE LEARNING BASED SOLAR POWER GENERATION PREDICTION APPARATUS AND METHOD THAT DOES NOT USE FUTURE METEOROLOGICAL FORECAST DATA),"['H02S 10/20 G06N 3/08  .... ', 'H02S 10/20|G06N 3/08|G06N 20/00']",인천대학교 산학협력단,1020190007968, 2019.01.22,1020928600000, 2020.03.18, , ,김효성,김관호 이동훈,"미래의 기상 예보 데이터를 이용하지 않는 기계학습 기반의 태양광 발전량 예측 장치 및 방법이 개시된다. 본 발명은 불확실성을 갖는 미래의 기상 예보 데이터를 이용하여 피크 시간대에서의 태양광 발전량을 예측하는 것이 아니라, 하루 중 피크 시간대 이전의 시간대에서 측정 완료된 기상 데이터를 기초로 그날 피크 시간대에서의 태양광 발전량을 예측할 수 있는 기법을 제시함으로써, 태양광 발전소의 관리자가 피크 시간대에서의 태양광 발전량을 보다 정확하게 예측할 수 있도록 지원할 수 있다.",,,,,
동파 방지 기능을 갖는 수도꼭지(FAUCET HAVING PREVENTING FREEZE-BREAK),['E03B 9/02'],인천대학교 산학협력단,1020180155265, 2018.12.05,1020930440000, 2020.03.18, , ,차준용,김지용 한경석 김재원 이승호 성영제 이현,"본 발명은 동파 방지 기능을 갖는 수도꼭지에 관한 것으로, 더욱 상세하게는 필요에 따라 수돗물이 지속적으로 점적되도록 하여, 수돗물의 흐름에 의해 동파가 방지되는 수도꼭지에 관한 것이다. 본 발명의 일 실시예는 상수유입관이 배치되는 수용공간이 내부에 형성되는 제1하우징과, 수용공간에 결합되고, 틸팅 가능한 레버가 돌출되게 형성되며, 레버의 틸팅에 따라 상수유입관과 연통되는 상수유입구를 개폐하는 카트리지와, 제1하우징과 결합되며, 레버가 삽입 가능한 중 공이 형성되는 제2하우징과, 제2하우징의 상방에 상하 회동 가능하게 결합되며, 관통공이 관통 형성되며, 상하 회동에 따라 레버를 틸팅시켜 상수유입구를 개폐하는 핸들과, 핸들의 관통공에 상하 이동 가능하게 결합되어, 이동에 따라 레버와 관통공 사이의 이격공간에 삽입되거나 분리되는 캡을 포함하는 것을 특징으로 한다.",,,,,
잠아로부터 발아된 개구리밥의 엽상체 면적을 이용한 수질 독성 평가 방법(Method for evaluatig aquatic ecotoxicity usig the frond area of Spirodela polyrhiza germinated from turion),['G01N 33/18'],주식회사 그린파이오니아 인천대학교 산학협력단,1020140034722, 2014.03.25,1015285800000, 2015.06.08, , ,고영갑 권정기 임상엽,한태준 박지혜,"본 발명은 (a) 배양용 용기에 수체 샘플을 넣는 단계; (b) 수체 샘플을 함유하는 배양용 용기에 개구리밥으로부터 분리된 잠아를 투입하는 단계; (c) 배양용 용기에 투입된 잠아를 배양하여 발아시키는 단계; 및 (d) 잠아의 발아에 의해 형성된 개구리밥의 엽상체 면적을 측정하는 단계를 포함하는 수질 독성 평가 방법을 제공한다. 본 발명에 따른 수질 독성 평가 방법은 수질 독성 평가를 위한 지표 물질로 개구리밥의 엽상체로부터 분리된 휴면상태의 잠아를 이용하고, 수질 독성 평가를 위한 파라미터로 잠아의 발아에 의해 형성된 개구리밥의 엽상체 면적을 이용하기 때문에 수질 독성 판별 시간이 약 3일 정도만 소요되고, 수질 독성원에 대한 높은 민감성을 가지며, 다양한 독성물질에 의한 수질 오염의 평가가 가능하다.",,,,,
저온추출 커피메이커(LOW TEMPERATURE COFFEE EXTRACTOR),"['A47J 31/34 A47J 31/56  .... ', 'A47J 31/34|A47J 31/56|A47J 31/44']",인천대학교 산학협력단,1020180054776, 2018.05.14,, ,1020190130300, 2019.11.22,특허법인 남앤남,김영관 곽용성 박종석,"본 발명의 저온추출 커피메이커는 내부에 액체가 수용되는 공간이 마련되고, 수용된 액체를 가열하는 가열부, 수용된 액체의 온도가 감지되는 센서부, 액체가 수용되는 공간의 압력을 조절하는 가압부, 센서부를 통해 감지된 온도 정보에 따라 가열부 및 가압부의 작동을 제어하는 제어부가 구비된 물저장용기, 물저장용기의 액체가 수용되는 공간의 압력 변화에 따라 물저장용기 내부의 액체가 유입되는 주입부, 주입부와 연통되고 음료분말이 수용되는 수용부가 마련되는 분말트레이 및 물저장용기의 액체가 수용되는 공간의 압력 변화에 따라 수용부를 경유한 액체가 유입되고 수용부에 수용된 음료분말이 걸러지는 여과부가 구비된 음료저장용기가 포함될 수 있다.",,,,,
5G와 LTE 공존을 위한 기판 집적 도파관 빔포밍 배열 안테나 기반의 하이브리드 안테나(HYBRID ANTENNA BASED ON SUBSTRATE INTEGRATED WAVEGUIDE BEAMFORMING ARRAY ANTENNA FOR 5G COEXISTING WITH LTE),['H01Q 3/36 H01P 3/12 '],인천대학교 산학협력단,1020170181489, 2017.12.27,1019527650000, 2019.02.21, , ,특허법인충정,강승택 박희준 이창형 무하마드 캄란 카탁 한다정,"본 발명의 일 실시예에 의한 5G와 LTE의 공존을 위한 기판 집적 도파관 빔포밍 배열 안테나 기반의 하이브리드 안테나는 5G를 위한 광대역 및 낮은 삽입손실의 기판 집적 도파관(SIW: Substrate Integrated Waveguide) 빔포밍 배열 안테나; 및 상기 기판 집적 도파관(SIW: Substrate Integrated Waveguide) 빔포밍 배열 안테나의 상단 및 하단에 소정 거리 이격되어 배치된 복수의 LTE MIMO 안테나를 포함하여, 격리도 특성이 우수하고 큰 MIMO 용량이 가능하며 저비용과 고수율 공정에 기반하여 시장 경쟁력 확보가 가능하고 스마트폰이나 소형 중계기에 5G 통신 모드와 LTE 통신 모드를 공유할 수 있다.",,,,,
"방사성핵종 흡착제의 제조 방법, 및 그 제조 방법으로 제조된 방사성핵종 흡착제를 포함하는 방사성 폐기물 처리 장치(Manufacturing method of radionuclide adsorbent, and radioactive waste treatment apparatus comprising the radionuclide adsorbent produced by the method)","['B01J 20/02 B01J 20/30  .... ', 'B01J 20/02|B01J 20/30|C04B 18/16|C04B 22/06|G21F 9/12|C04B 111/00']",인천대학교 산학협력단,1020180088580, 2018.07.30,, ,1020200013411, 2020.02.07,박상열 최내윤,장정국 박솔뫼,"폐콘크리트를 준비하는 단계, 상기 폐콘크리트로부터 실리케이트를 포함하는 폐시멘트 페이스트를 수득하는 단계, 및 상기 폐시멘트 페이스트에 이산화탄소를 제공하여, 탄산화된 폐시멘트 페이스트 제조하는 단계를 포함하는 방사성핵종 흡착제의 제조 방법이 제공된다.",,,,,
주사 탐침 현미경 및 회전 테이블 모듈(Scanning probe microscope and rotation table module),['G01Q 10/04 G01Q 30/00 '],인천대학교 산학협력단,1020190006129, 2019.01.17,1020919650000, 2020.03.16, , ,박상열 최내윤,최수봉 김현태,"본 발명은 주사 탐침 현미경 및 테이블 유닛에 관한 것이다. 본 발명의 일 실시 예에 따른 주사 탐침 현미경은 관찰 대상이 되는 시료를 지지하는 테이블 유닛; 상기 테이블 유닛의 위쪽에 위치되는 탐침; 상기 탐침으로 레이저를 조사하는 광원; 및 상기 광원에서 상기 탐침으로 조사한 후 반사된 레이저를 검출하는 위치 검출기를 포함하되, 상기 테이블 유닛은, 설정 면적 및 설정 높이를 갖는 블록 구조로 제공되고, 내측 상부에 제2 테이블 수용공간이 형성되는 제1 테이블; 설정 면적 및 설정 높이를 갖는 블록 구조로 제공되고, 상기 제2 테이블 수용공간에 위치되고, 내측 상부에 회전 테이블 수용공간이 형성되는 제2 테이블; 상기 회전 테이블 수용공간에 위치되고, 내측에 설치 공간이 형성된 보조 테이블; 상기 설치 공간에 위치되는 회전 테이블; 및 상기 설치 공간에 위치되고, 상기 회전 테이블에 연결되어, 상기 회전 테이블과 연동하여 회전되는 풀리를 포함한다.",,,,,
타격점 위치와 모션 표출을 통한 오차 보정 시스템(AN ERROR CORRECTING SYSTEM BASED HIT POINT LOCATION AND MOTION DISPLAY),"['A63B 24/00 A63B 60/46  .... ', 'A63B 24/00|A63B 60/46|A63B 69/36|A63B 71/06']",인천대학교 산학협력단,1020110035978, 2011.04.19,1012454570000, 2013.03.13,1020120118555, 2012.10.29,김태원,이병수 조현식 이민순 이귀봉,"본 발명은 실내 또는 스크린 골프 연습장, 옥외 연습장 및 필드 등에서 타격 시 자신의 타격점 위치와 상기 타격점에 따른 모션 표출을 통해 스스로 자세 등을 교정할 수 있는 오차 보정 시스템, 특히 골프채에 3개의 압력 센서를 부착하여 각각의 센서에 걸리는 압력분포를 삼각 측량 알고리즘을 이용하여 골프채의 정확한 타격점 위치를 계산하여 상기 타격점 위치에 따른 정 위치 타격 또는 오차초과 타격 전후의 모션 영상을 표출하여 상기 표출된 영상을 비교 분석하여 스스로 타격점, 타격 자세 등을 교정할 수 있는 타격점 위치와 모션 표출을 통한 오차 보정 시스템에 관한 것이다.",,,,,
자동차 번호판의 영상 인식 시스템 및 그 방법(SYSTEM AND METHOD FOR THE RECOGNITION OF VEHICLE LICENSE PLATE IMAGES),['G06K 9/52'],인천대학교 산학협력단,1020060124526, 2006.12.08,1008372440000, 2008.06.04, , ,유미특허법인,강현철 박경수,"본 발명은 카메라를 통해 촬영된 자동차 번호판의 영상을 인식하는 시스템 및 그 방법에 관한 것이다. 본 발명에서는, 자동차 번호판의 영상에 대한 공분산 행렬을 먼저 산출한다. 그리고, 산출된 공분산 행렬을 이용하여 번호판 영상 내 문자의 특징을 값으로 표현한 고유값(Eigenvalue)을 계산하고, 고유값과 일대일 대응하는 고유 벡터(Eigenvector)를 산출한다. 이후, 산출된 고유 벡터 중에서 번호판 영상 전체를 나타낼 수 있는 소정 개수의 고유 벡터를 선정하는데, 선정시 값이 큰 고유값과 대응하는 고유 벡터를 우선 순위로 한다. 이후, 선정된 고유 벡터의 공간으로 번호판 영상을 투영시켜 해당 숫자가 고유 벡터의 공간에서 가지는 가중치를 추출하는데, 이 가중치는 곧 특징 벡터가 된다. 이후, 추출된 특징 벡터를 토대로 영상 학습을 수행하며, 그 수행 결과를 번호판의 영상 인식에 이용한다. 이를 통하여, 계조도 분포가 정규 분포를 벗어나는 번호판 영상에서도 높은 인식률을 얻을 수 있다. 영상 인식, 자동차 번호판, 주성분 분석(PCA), 특징 벡터, 인식률",,,,,
가변돌출식 조작버튼을 갖는 입력장치(INPUT DEVICE HAVING OPERATION BUTTON FORMED BY VARIABLE PROTRUSION),"['B60N 2/75 G06F 3/01  .... ', 'B60N 2/75|G06F 3/01|G06F 3/02|G06F 3/0354']",인천대학교 산학협력단,1020180118221, 2018.10.04,1020894480000, 2020.03.10, , ,특허법인 남앤남,김영진 정상훈 김현호 이승준 이상희,"가변돌출식 조작버튼을 갖는 입력장치가 개시된다. 본 발명에 따른 가변돌출식 조작버튼을 갖는 입력장치는, 차량 내의 다양한 편의기능이 유형별로 각각 선택되도록, 차량의 암레스트 일측에 배치되는 다수의 모드버튼; 상기 모드버튼의 주변에 다수 개가 배설되어 선택된 편의기능의 유형에 따라 개별적으로 돌출작동하며 소정형상의 조작버튼을 입체적으로 형성하는 구동부; 및 상기 구동부의 돌출면에 구비되어 돌출작동한 상기 구동부에 의해 탄성변형되며 상기 조작버튼에 대한 사용자의 입력을 감지하는 센싱부를 포함하여, 차량 내의 다양한 편의기능의 조작은 입체화된 상기 조작버튼에 대한 사용자의 촉각에 의해 이루어지는 것을 특징으로 한다. 본 발명에 의하면, 모드버튼에 의해 선택된 차량 내 편의기능의 유형에 따라 개별적으로 돌출작동하며 다양한 조작버튼에 대응한 형상을 이루게 되는 다수의 구동부와, 돌출작동한 구동부에 의해 탄성변형되며 활성화되어 조작버튼에 대한 사용자의 입력을 감지하는 센싱부가 마련됨으로 인해 차량 내의 다양한 편의기능의 조작이 운전자의 전방주시를 방해하지 않고 운전자의 촉각에 의존하여 자유자재로 이루어질 수 있게 됨에 따라 주행중 차량의 안전사고 위험성이 효과적으로 저감될 수 있다.",,,,,
권선과 회전자 사이의 기생 커패시턴스 조정을 통한 축전압 저감 설계 기법에 기반한 전동기(MOTOR BASED ON REDUCTION OF SHAFT VOLTAGE BY ADJUSTING THE PARASITIC CAPACITANCE BETWEEN THE WINDINGS AND ROTOR),['H02K 11/02 H02K 23/00 '],인천대학교 산학협력단,1020180011281, 2018.01.30,1020895760000, 2020.03.10,1020190092013, 2019.08.07,특허법인충정,허진 임준혁 박준규,"본 발명의 일 실시예에 의한 권선과 회전자 사이의 기생 커패시턴스 조정을 통한 축전압 저감 설계 기법에 기반한 전동기는, 전동기 프레임에 고정되어 있고 권선이 감겨져 있는 고정자 및 상기 고정자와 소정 거리 이격되어 상기 프레임에 베어링 및 축을 통해 회전 가능하게 지지된 회전자를 포함하는 전동기로서, 상기 고정자의 앤드 권선과 상기 회전자 사이에 소정 거리 이격되어 삽입된 도전성 재질의 실드를 포함하고, 상기 실드는 상기 고정자의 끝부분과 상기 프레임에 접촉되고, 상기 프레임은 접지되어, 축전압을 현저히 감소시켜 베어링의 전식을 방지하여 베어링을 보호함으로써 전동기의 신뢰성 및 내구도를 향상시킬 수 있다.",,,,,
3 차원 UHF RFID 태그(3 dimension UHF RFID TAG),['G06K 19/077'],인천대학교 산학협력단,1020080120883, 2008.12.02,1010396030000, 2011.06.01,1020100062314, 2010.06.10,김태원,김준호 이동엽,"본 발명은 RFID(radio frequency identification )시스템에 관한 것이다. 통상 RFID 시스템은 리더(reader)와 RFID 태그(tag)로 분류될 수 있는데, 이 중에서 본 발명이 속하는 분야는 RFID 태그 분야이다. 상기 RFID 태그 분야는 사용 주파수 영역에 따라 분류되는데, 본 발명은 RFID 태그가 서로 독립적으로 제1방향, 제2방향, 제3방향에 대해 수직을 이루도록 하고 상기 3방향 중앙 공간에는 전기적으로 연결 가능한 칩을 부착하여 UHF 대역에서 동작되는 3차원 RFID 태그 안테나에 관한 것이다. RFID 태그, UHF, 3D 태그, 삼지창, bow-tie",,,,,
바이러스 및 은 나노입자의 복합체를 이용한 수은이온 검출용 바이오 센서(BIOSENSOR DETECTING MERCURY ION USING CONJUGATES OF VIRUS AND SILVER NANOPARTICLE),"['G01N 33/554 G01N 33/543  .... ', 'G01N 33/554|G01N 33/543|G01N 33/553|G01N 31/00|G01N 21/552']",인천대학교 산학협력단,1020180031948, 2018.03.20,1020885630000, 2020.03.06,1020190110247, 2019.09.30,차준용,김규원 마니반난,"본 발명은 바이러스 및 은 나노입자의 복합체를 이용한 수은이온 검출용 바이오 센서에 관한 것으로, 더욱 상세하게는 M13 바이러스(M13-4E 형태로 설계된 것)와 실리케이트 졸-겔 매트릭스(SSG)로 안정화된 은(Ag) 나노 입자를 포함하는 복합체(conjugates)를 이용한 수은이온 검출용 바이오 센서에 관한 것이다. 본 발명에 따른 바이오 센서는 Ag NPs와 Hg(II) 이온의 상호 작용 때문에 Ag-Hg 아말감으로의 구조적 변형이 분명함을 증명하였으며, 또한 이러한 CG가 M13의 생물학적 특성을 유지하면서 Ag NP SPR 밴드의 독특한 소광 특성을 나타내는 것을 관찰하였다. 따라서 SSG-Ag 4E CGs는 Hg(II) 이온에 대하여 높은 선택성를 나타내며 복잡한 간섭을 포함하는 수용액에서 Hg(II) 이온을 검출하는데 직접 사용될 수 있다.",,,,,
신경망 기법을 이용한 뉴스 비디오의 앵커 화면 추출 장치및 그 방법(An image extraction device of anchor frame in the newsvideo using neural network and method thereof),"['H04N 7/035 H04N 5/14  .... ', 'H04N 7/035|H04N 5/14|H04N 21/466|H04N 5/76|H04N 5/775']",인천대학교 산학협력단,1020050046074, 2005.05.31,1006835010000, 2007.02.09,1020060094006, 2006.08.28,유미특허법인,강현철 이진성,"신경망 기법을 이용한 뉴스 비디오의 앵커 화면 추출 장치에서, 뉴스 비디오를 앵커 화면의 구조적 특성을 갖는 앵커 화면과 그렇지 못한 비 앵커 화면으로 분류한다. 그리고 외부로부터 뉴스 영상 데이터가 입력되면 장면 전환을 검출하고, 신경망 기법을 토대로 검출된 장면 전환에 해당하는 입력 패턴과 앵커 화면에 해당하는 다수의 분류 패턴을 비교하여, 상기 입력 패턴으로부터 앵커 화면을 검출한다. 상기 분류 패턴은 앵커의 수, 뉴스 아이콘의 유무, 그리고 뉴스 아이콘의 위치 중 적어도 하나를 포함하는 앵커 구성 변수에 따라 다수의 모델로 모델링되어 있다. 따라서 신경망 기법을 이용하여 뉴스 비디오에서 앵커 화면을 정확하고 효율적으로 추출할 수 있다. 신경망, 뉴스 비디오, 앵커화면, 장면전환",,,,,
에지 컴퓨팅용 초고해상도 영상을 복원하기 위한 초고해상도 영상 복원 장치 및 방법(Apparatus and Method for Restoring Super Resolution Image for Edge Computing),['G06T 3/40'],인천대학교 산학협력단,1020180104627, 2018.09.03,, ,1020200026549, 2020.03.11,특허법인충정,전광길,"에지 컴퓨팅용 초고해상도 영상을 복원하기 위한 초고해상도 영상 복원 장치 및 방법은 저해상도(Low Resolution, LR) 패치의 희소 계수와 고해상도(High Resolution, HR) 패치의 희소 계수가 선형적으로 관련되어 있다고 가정하고, 특정한 패턴에 따라 복수의 LR 패치와 복수의 HR 패치의 학습 패치를 공동으로 복수개 파티셔닝하여 다양한 영상 패턴을 표현할 수 있으며, 영상 복원의 오류 발생을 최소화함으로써 적은 양의 학습 데이터와 불필요한 연산을 생략하여 고해상도 영상을 복원하는데 최적화된 영상 보간 방법을 제공함으로써 영상 분석 효율이 향상되는 효과가 있다.",,,,,
원격 탐사를 위한 햅틱 상호작용 시스템 및 방법(HAPTIC INTERACTION SYSTEM AND METHOD FOR PROBING REAL OBJECTS IN REMOTE PLACES),"['G06F 3/01 G06F 3/00  .... ', 'G06F 3/01|G06F 3/00|B25J 13/02|H04N 7/18']",인천대학교 산학협력단,1020180104753, 2018.09.03,, ,1020200026596, 2020.03.11,특허법인충정,성미영 최아람,"본 발명의 일 실시예에 의한 원격 탐사를 위한 햅틱 상호작용 시스템은, 원격지의 클라이언트; 및 상기 클라이언트와 실시간으로 통신하는 서버를 포함하고, 상기 클라이언트는, 카메라, 제1 햅틱 장치, 및 제1 제어부를 포함하며, 상기 서버는, 제2 햅틱 장치, 제2 제어부, 및 표시부를 포함하고, 베이스 벡터의 길이는 제1 햅틱 장치의 햅틱 포인터와 물체와의 최초 충돌 발생시 서버로부터 수신되는 제2 햅틱 장치의 햅틱 포인터의 위치에서 제1 햅틱 장치의 햅틱 포인터의 위치를 뺀 베이스 벡터의 길이이며, 원격지에 있는 실제 물체를 사용자가 눈으로 확인하는 동시에 햅틱 장치를 사용하여 원격지의 물체를 촉각으로 탐사할 수 있고 사용자가 실제와 유사한 매끄러운 햅틱 피드백을 경험할 수 있다.",,,,,
주파수 체배기의 사전 왜곡 선형화 장치 및 이를 이용한이중 모드 송신기(Predistortion linearization equipment of frequency multiplier and dual mode transmitter using the predistortion linearization equipment),"['H04L 25/06 H04B 1/04  .... ', 'H04L 25/06|H04B 1/04|H03L 7/099']",인천대학교 산학협력단,1020060118953, 2006.11.29,1008372430000, 2008.06.04,1020070089035, 2007.08.30,유미특허법인,구경헌 최재홍,"본 발명은 주파수 체배기의 사전왜곡 선형화 장치 및 이를 이용한 이중 모드 송신기에 관한 것이다. 제안된 이중 모드 송신기는 이중 주파수 대역의 신호를 송신하기 위해 각 주파수 대역에서 동작하는 송신기 모듈을 따로 구비하지 않고 하나의 송신기 모듈만으로 이중 주파수 대역의 신호를 송신한다. 이를 위하여, 이중 모드 송신기는 구동 주파수 선택 스위치의 동작에 따라서 이중 대역 중 제1 주파수 대역의 신호를 증폭하여 출력하는 전력 증폭기와, 제2 주파수 대역의 신호를 주파수 체배하여 출력하는 주파수 체배기로 동작하게 된다. 여기서, 비선형 소자로 이루어지는 주파수 체배기는 사전 왜곡 선형화 장치를 이용하여 발생되는 비선형 왜곡 특성을 보상한다. 따라서, 하나의 송신기 모듈을 이용하여 이중 주파수 대역의 신호를 송신하는 것을 가능하게 하여 단가를 낮추고 송신기 모듈을 소형화 시킬 수 있다. 또한 사전 왜곡 선형화 장치를 포함함으로써 이중 모드 송신기의 비선형성을 보상하는 효과가 있다. 이중 모드 송신기, 주파수 체배기, 전력 증폭기, 사전 왜곡, 선형화",,,,,
가중 최소 자승 필터와 희소 표현을 이용한 영상 융합 장치 및 방법(Apparatus and Method for Fusing Using Weighted Least Squares Filter and Sparse Respresentation),"['G06T 5/50 G06T 5/00  .... ', 'G06T 5/50|G06T 5/00|G06T 5/20']",인천대학교 산학협력단,1020180103208, 2018.08.31,, ,1020200025598, 2020.03.10,특허법인충정,전광길,"가중 최소 자승 필터와 희소 표현을 이용한 영상 융합 장치 및 방법은 의상 분해 및 희소 표현을 기반으로 한 의료 영상을 융합하는 방법으로서, 라플라시안 피라미드와 희소 표현의 융합 규칙을 결합하여 저주파수 층을 처리함으로써 복원된 의료 영상의 영상 품질을 개선하는 효과가 있다.",,,,,
미스트 노즐을 이용한 해조류 육상 양식장치(LAND-BASED SEAWEED CULTIVATION SYSTEM USING MIST NOZZLE),"['A01G 33/00 A01G 7/04  .... ', 'A01G 33/00|A01G 7/04|A01G 27/04']",인천대학교 산학협력단,1020180064310, 2018.06.04,1020869110000, 2020.03.03,1020190138134, 2019.12.12,차준용,김장균 김수경 신숙경,"본 발명은 해조류 육상 양식장치에 관한 것으로서, 해수가 수용되는 양식수조(110)와; 상기 양식수조(110)에 일정각도 경사지게 배치되며 광을 발생시키는 광발생부(120)와; 상기 양식수조(110)의 상부에 구비되어 상기 광발생부(120)를 향해 해수를 분사하는 해수공급부(130)를 포함하며, 상기 광발생부(120)는, 해수와 닿지 않게 상기 양식수조(110)의 상부에 배치되며, 상면에 해조류가 안착되는 함체 형상의 케이싱(121)과; 상기 케이싱(121)의 내부에 구비되어 해조류가 광합성을 하도록 해조류를 향해 광을 조사하는 복수개의 광원모듈(123)을 포함하는 것을 특징으로 한다.",,,,,
겔형 고분자 전해질 막 및 이의 제조방법(Gel-type polymer electrolyte membrane and the manufacruting method thereof),"['C08F 299/04 C08F 226/06  .... ', 'C08F 299/04|C08F 226/06|C08F 8/36|C08G 81/02|C08J 5/22|H01M 10/0565']",인천대학교 산학협력단,1020180047430, 2018.04.24,, ,1020190123566, 2019.11.01,특허법인충현,김태현 신인섭 남재빈,"본 발명은 겔형 고분자 전해질 막 및 이의 제조방법에 관한 것으로, 보다 상세하게는 기계적 특성과 이온 전도도 특성을 동시에 향상시킬 수 있는 겔형 고분자 전해질 막 및 이의 제조방법을 제공하고자 하는 것이다. 본 발명은 종래의 PVdF-HFP 등과 같은 지지체의 사용 없이도 높은 기계적 특성과 이온 전도도를 나타낼 수 있는 고분자 전해질용 삼중블록 고분자를 제공할 수 있다. 상기 삼중블록 고분자는 에틸렌 옥사이드가 고분자 주쇄에 포함되어 있어 고분자 사슬 내에 리튬 이온의 이동 채널을 형성함으로써, 이온 전도도의 향상과 함께 블록구조에 기인한 기계적 특성의 증가를 유도하여 높은 이온 전도도와 기계적 물성을 갖는 고 성능의 겔형 고분자 전해질 막과 이를 이용한 리튬 이차전지를 제공하는데도 현저한 효과를 나타낸다.",,,,,
스마트 세탁기 및 이를 이용한 세탁물의 이물질을 구분하는 방법(Smart Washer and Method for Separating Impurities of Laundry Using the Same),"['D06F 39/00 D06F 33/30  .... ', 'D06F 39/00|D06F 33/30|G01N 23/04|G06N 3/08']",인천대학교 산학협력단,1020180142722, 2018.11.19,1020710210000, 2020.01.21, , ,특허법인충정,박재현 김도엽 김유민 김지연 박나윤 정종우,"스마트 세탁기 및 이를 이용한 세탁물의 이물질을 구분하는 방법은 세탁 전 구별하기 힘든 휴지, 종이, 지폐, 이어폰, 전자담배, USB 등의 여러 형태의 영상 데이터를 딥 러닝 기법을 적용하여 사전에 학습하고, 세탁물에 투과된 엑스레이 영상을 검출하여 사전에 학습된 학습 데이터와 비교함으로써 세탁물의 이물질 포함 여부를 용이하게 판별하는 효과가 있다.",,,,,
